il101_n100_bounded-strongly-corr_01-50000-generations-ErrorReport,IBEA,ReducedSurrogateCrossover,BitFlipMutation,RunNum=4,0.005
,SPEA2,UniformCrossover,GreedyMutation,RunNum=8,5.29
,NSGA2,HUXCrossover,OneBitFlipMutation,RunNum=3,6.47
il101_n100_bounded-strongly-corr_06-50000-generations-ErrorReport,IBEA,HUXCrossover,BitFlipMutation,RunNum=3,0.003
,NSGA2,UniformCrossover,BitFlipMutation,RunNum=1,17.86
,SPEA2,HUXCrossover,BitFlipMutation,RunNum=1,19.22
il101_n100_bounded-strongly-corr_10-50000-generations-ErrorReport,IBEA,UniformCrossover,BitFlipMutation,RunNum=4,0.02
,NSGA2,SinglePointCrossover,GreedyMutation,RunNum=10,19.03
,SPEA2,HUXCrossover,BitFlipMutation,RunNum=6,24.31
il101_n500_bounded-strongly-corr_01-50000-generations-ErrorReport,IBEA,UniformCrossover,OneBitFlipMutation,RunNum=4,0.29
,NSGA2,HUXCrossover,BitFlipMutation,RunNum=4,47.82
,SPEA2,SinglePointCrossover,BitFlipMutation,RunNum=9,70.82
il101_n500_bounded-strongly-corr_06-50000-generations-ErrorReport,IBEA,HUXCrossover,OneBitFlipMutation,RunNum=9,0.64
,NSGA2,SinglePointCrossover,BitFlipMutation,RunNum=10,53.35
,SPEA2,ArithmeticCrossover,DynamicBitFlipMutation,RunNum=9,68.37
il101_n500_bounded-strongly-corr_10-50000-generations-ErrorReport,IBEA,HUXCrossover,BitFlipMutation,RunNum=6,2.81
,NSGA2,ArithmeticCrossover,BitFlipMutation,RunNum=6,42.07
,SPEA2,SinglePointCrossover,BitFlipMutation,RunNum=10,65.06
il101_n1000_bounded-strongly-corr_01-50000-generations-ErrorReport,IBEA,UniformCrossover,OneBitFlipMutation,RunNum=8,4.53
,NSGA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=9,40.93
,SPEA2,HUXCrossover,BitFlipMutation,RunNum=10,60.56
il101_n1000_bounded-strongly-corr_06-50000-generations-ErrorReport,IBEA,UniformCrossover,ReversingMutation,RunNum=10,6.14
,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=2,61.81
,NSGA2,ArithmeticCrossover,BitFlipMutation,RunNum=8,73.94
il101_n1000_bounded-strongly-corr_10-50000-generations-ErrorReport,IBEA,HUXCrossover,BitFlipMutation,RunNum=5,12.96
,SPEA2,ArithmeticCrossover,ReversingMutation,RunNum=7,71.88
,NSGA2,SinglePointCrossover,OneBitFlipMutation,RunNum=6,77.9
