instance,Algorithm,Crossover,Mutation,Best_Average_Error,,
il101_n100_bounded-strongly-corr_01,IBEA,GroupPointCrossover,GreedyMutation,RunNum=8,RunNum=7,8.38
il101_n100_bounded-strongly-corr_01,SPEA2,ReducedSurrogateCrossover,BitFlipMutation,RunNum=4,RunNum=9,16.09
il101_n100_bounded-strongly-corr_01,NSGA2,ReducedSurrogateCrossover,BitFlipMutation,RunNum=3,RunNum=10,23.46
il101_n100_bounded-strongly-corr_06,IBEA,UniformCrossover,BitFlipMutation,RunNum=1,RunNum=1,6.49
il101_n100_bounded-strongly-corr_06,NSGA2,HUXCrossover,BitFlipMutation,RunNum=10,RunNum=9,40.95
il101_n100_bounded-strongly-corr_06,SPEA2,HUXCrossover,DynamicBitFlipMutation,RunNum=7,RunNum=2,44.6
il101_n100_bounded-strongly-corr_10,IBEA,HUXCrossover,BitFlipMutation,RunNum=1,RunNum=8,17.77
il101_n100_bounded-strongly-corr_10,NSGA2,UniformCrossover,OneBitFlipMutation,RunNum=8,RunNum=5,25.98
il101_n100_bounded-strongly-corr_10,SPEA2,UniformCrossover,ReversingMutation,RunNum=4,RunNum=2,37.46
il101_n500_bounded-strongly-corr_01,IBEA,HUXCrossover,DynamicBitFlipMutation,RunNum=7,RunNum=10,46.21
il101_n500_bounded-strongly-corr_01,NSGA2,UniformCrossover,DynamicBitFlipMutation,RunNum=2,RunNum=4,51.85
il101_n500_bounded-strongly-corr_01,SPEA2,HUXCrossover,DynamicBitFlipMutation,RunNum=8,RunNum=2,65.25
il101_n500_bounded-strongly-corr_06,IBEA,GroupPointCrossover,OneBitFlipMutation,RunNum=7,RunNum=7,28.52
il101_n500_bounded-strongly-corr_06,NSGA2,UniformCrossover,InterchangingMutation,RunNum=1,RunNum=1,40.6
il101_n500_bounded-strongly-corr_06,SPEA2,ReducedSurrogateCrossover,ReversingMutation,RunNum=7,RunNum=1,45.53
il101_n500_bounded-strongly-corr_10,IBEA,ArithmeticCrossover,InterchangingMutation,RunNum=6,RunNum=8,41.16
il101_n500_bounded-strongly-corr_10,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=8,RunNum=10,41.52
il101_n500_bounded-strongly-corr_10,NSGA2,ArithmeticCrossover,ReversingMutation,RunNum=8,RunNum=9,64.75
il101_n1000_bounded-strongly-corr_01,IBEA,UniformCrossover,DynamicBitFlipMutation,RunNum=8,RunNum=7,36.7
il101_n1000_bounded-strongly-corr_01,SPEA2,HUXCrossover,DynamicBitFlipMutation,RunNum=1,RunNum=3,54.69
il101_n1000_bounded-strongly-corr_01,NSGA2,UniformCrossover,DynamicBitFlipMutation,RunNum=3,RunNum=6,59.63
il101_n1000_bounded-strongly-corr_06,IBEA,GroupPointCrossover,OneBitFlipMutation,RunNum=2,RunNum=8,0.47
il101_n1000_bounded-strongly-corr_06,SPEA2,ReducedSurrogateCrossover,ReversingMutation,RunNum=2,RunNum=7,2.29
il101_n1000_bounded-strongly-corr_06,NSGA2,ReducedSurrogateCrossover,ReversingMutation,RunNum=3,RunNum=8,4.33
il101_n1000_bounded-strongly-corr_10,IBEA,ArithmeticCrossover,InterchangingMutation,RunNum=5,RunNum=9,36.56
il101_n1000_bounded-strongly-corr_10,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=3,RunNum=5,39.78
il101_n1000_bounded-strongly-corr_10,NSGA2,ArithmeticCrossover,OneBitFlipMutation,RunNum=8,RunNum=5,66.64
