instance,Algorithm,Crossover,Mutation,Best_Average_Error,
il101_n100_bounded-strongly-corr_01,IBEA,SinglePointCrossover,OneBitFlipMutation,RunNum=7,0.06
il101_n100_bounded-strongly-corr_01,SPEA2,UniformCrossover,OneBitFlipMutation,RunNum=9,5.62
il101_n100_bounded-strongly-corr_01,NSGA2,UniformCrossover,OneBitFlipMutation,RunNum=10,7.54
il101_n100_bounded-strongly-corr_06,IBEA,HUXCrossover,DynamicBitFlipMutation,RunNum=1,0.05
il101_n100_bounded-strongly-corr_06,NSGA2,UniformCrossover,ReversingMutation,RunNum=9,6.44
il101_n100_bounded-strongly-corr_06,SPEA2,HUXCrossover,ReversingMutatiion,RunNum=2,11.2
il101_n100_bounded-strongly-corr_10,IBEA,HUXCrossover,InterchangingMutation,RunNum=8,0.07
il101_n100_bounded-strongly-corr_10,SPEA2,HUXCrossover,OneBitFlipMutation,RunNum=5,13.56
il101_n100_bounded-strongly-corr_10,NSGA2,HUXCrossover,InterchangingMutation,RunNum=2,14.53
il101_n500_bounded-strongly-corr_01,IBEA,SinglePointCrossover,ReversingMutation,RunNum=10,30.25
il101_n500_bounded-strongly-corr_01,SPEA2,SinglePointCrossover,ReversingMutation,RunNum=4,71.28
il101_n500_bounded-strongly-corr_01,NSGA2,HUXCrossover,DynamicBitFlipMutation,RunNum=2,74.6
il101_n500_bounded-strongly-corr_06,IBEA,HUXCrossover,OneBitFlipMutation,RunNum=7,2.82
il101_n500_bounded-strongly-corr_06,SPEA2,UniformCrossover,ReversingMutation,RunNum=1,35.82
il101_n500_bounded-strongly-corr_06,NSGA2,HUXCrossover,ReversingMutation,RunNum=1,46.17
il101_n500_bounded-strongly-corr_10,IBEA,HUXCrossover,ReversingMutation,RunNum=8,10.25
il101_n500_bounded-strongly-corr_10,SPEA2,ArithmeticCrossover,OneBitFlipMutation,RunNum=10,44.29
il101_n500_bounded-strongly-corr_10,NSGA2,ArithmeticCrossover,InterchangingMutation,RunNum=9,65.35
il101_n1000_bounded-strongly-corr_01,SPEA2,UniformCrossover,ReversingMutation,RunNum=7,23.05
il101_n1000_bounded-strongly-corr_01,NSGA2,HUXCrossover,DynamicBitFlipMutation,RunNum=3,26.69
il101_n1000_bounded-strongly-corr_01,IBEA,UniformCrossover,ReversingMutation,RunNum=6,56.31
il101_n1000_bounded-strongly-corr_06,IBEA,HUXCrossover,ReversingMutation,RunNum=8,16.26
il101_n1000_bounded-strongly-corr_06,SPEA2,HUXCrossover,ReversingMutation,RunNum=7,46.99
il101_n1000_bounded-strongly-corr_06,NSGA2,HUXCrossover,OneBitFlipMutation,RunNum=8,52.9
il101_n1000_bounded-strongly-corr_10,IBEA,HUXCrossover,DynamicBitFlipMutation,RunNum=9,25.77
il101_n1000_bounded-strongly-corr_10,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=5,30.13
il101_n1000_bounded-strongly-corr_10,NSGA2,ArithmeticCrossover,InterchangingMutation,RunNum=5,59.12
