1000,IBEA,GroupPointCrossover,OneBitFlipMutation,RunNum=2,0.47
,SPEA2,ReducedSurrogateCrossover,ReversingMutation,RunNum=2,2.29
,NSGA2,ReducedSurrogateCrossover,ReversingMutation,RunNum=3,4.33
10000,IBEA,HUXCrossover,ReversingMutation,RunNum=8,16.26
,SPEA2,HUXCrossover,ReversingMutation,RunNum=7,46.99
,NSGA2,HUXCrossover,OneBitFlipMutation,RunNum=8,52.9
50000,IBEA,UniformCrossover,InterchangingMutation,RunNum=7,0.07
,SPEA2,UniformCrossover,ReversingMutation,RunNum=3,40.93
,NSGA2,HUXCrossover,OneBitFlipMutation,RunNum=10,60.48
100000,IBEA,UniformCrossover,ReversingMutation,RunNum=5,0.34
,SPEA2,HUXCrossover,InterchangingMutation,RunNum=8,46.49
,NSGA2,SinglePointCrossover,ReversingMutation,RunNum=6,46.79
