Objective Value, Total Weight
-5452.087149288447,184928.0
8509.437221516942,218123.0
-5452.087149288447,184928.0
8509.437221516942,218123.0
7666.033941736299,215268.0
7666.033941736299,215268.0
2965.434958446247,202965.0
2965.434958446247,202965.0
-906.5427924008109,192021.0
-5254.53100361969,185462.0
-3652.6739717331657,188512.0
-3652.6739717331657,188512.0
-2496.8150860030437,190185.0
2478.926761394163,201218.0
1108.0966387261287,199605.0
-2496.8150860030437,190185.0
-67.59463799753576,194412.0
416.4549548958021,195589.0
-67.59463799753576,194412.0
543.3492527193448,197858.0
Objective Value, Total Weight
7169.725611576723,206223.0
7169.725611576723,206223.0
-3388.7382838584017,197015.0
5376.042557213368,202611.0
55.54033516946947,199922.0
5376.042557213368,202611.0
55.54033516946947,199922.0
-975.2010543104552,198420.0
-3038.383195605973,198319.0
6515.590820045007,203209.0
-71.72287975507788,199774.0
-897.2114001856244,199116.0
6731.846920134791,204269.0
6984.676017760416,205163.0
6731.846920134791,204269.0
6984.676017760416,205163.0
6515.590820045007,203209.0
-897.2114001856244,199116.0
-3211.5739549746213,197707.0
-3304.225155909604,197399.0
Objective Value, Total Weight
-121.94799578978564,195530.0
-121.94799578978564,195530.0
3785.4000388433633,206906.0
2160.4057371891104,200855.0
2788.1627096660086,201995.0
3445.7111573336297,202638.0
1303.7365494751139,199949.0
3385.8149580910103,202087.0
539.6844425764284,198294.0
1012.8840328951192,198936.0
1590.310970046674,200301.0
-27.98692994643352,197147.0
-106.67829458907363,195860.0
192.23741917483858,197217.0
539.6844425764284,198294.0
3445.7111573336297,202638.0
1012.8840328951192,198936.0
1590.310970046674,200301.0
192.23741917483858,197217.0
-27.98692994643352,197147.0
Objective Value, Total Weight
8424.94153510072,209638.0
8424.94153510072,209638.0
-1771.1283357811917,184771.0
7088.247710307594,202302.0
705.036037311831,187506.0
7380.36262530266,205899.0
2380.6859893455985,187880.0
118.4525954326673,186637.0
5595.8220002244925,196274.0
7733.569994237128,206373.0
5253.824344642897,193980.0
3194.166824233718,192630.0
2877.7483232085942,189092.0
6627.229060567683,196841.0
3970.5048881988623,193040.0
7842.590222389612,209406.0
6785.548374016682,199298.0
6785.548374016682,199298.0
6193.55390077128,196653.0
2596.374061456212,188421.0
Objective Value, Total Weight
8412.429718488333,211068.0
8412.429718488333,211068.0
-12330.997100041772,170587.0
-12330.997100041772,170587.0
-4601.089258874417,186305.0
-9899.126201462874,176166.0
-12228.636768689408,171247.0
1602.929826980544,195833.0
-687.1905051358044,192061.0
-8779.405041231395,178874.0
7360.283066763281,207278.0
-323.9112829368969,193121.0
6062.867087420571,205355.0
-5655.061379314779,180239.0
-687.1905051358044,192061.0
5700.951521795971,202544.0
7768.204310845933,210295.0
2060.9662241867627,199772.0
-9308.562010042107,176390.0
4845.615982245188,201612.0
Objective Value, Total Weight
1972.5760540677875,204705.0
-5457.540598757623,182752.0
-5457.540598757623,182752.0
541.0958336764888,201666.0
541.0958336764888,201666.0
-1539.5088584296172,195626.0
-1539.5088584296172,195626.0
-5254.001745760615,185012.0
1517.7991456773889,203168.0
-3394.665777005139,191386.0
-2539.9398179035634,193460.0
-1890.5242097111186,194184.0
-4041.415682194958,189048.0
-4884.848698804126,186736.0
-4041.415682194958,189048.0
1517.7991456773889,203168.0
-2930.0866646368813,192018.0
-3761.5843101808277,190842.0
-3812.4506242047646,189944.0
-4800.60914868032,186783.0
Objective Value, Total Weight
5446.154049137578,197074.0
5446.154049137578,197074.0
-46.45657746377401,185445.0
-46.45657746377401,185445.0
2774.653862027568,190460.0
4094.2009614132694,191748.0
2342.015562818735,188146.0
972.6393705204828,185606.0
5240.6749675158935,196547.0
4319.783588089398,193606.0
5202.431938294816,194760.0
1676.6158875275578,187519.0
4094.2009614132694,191748.0
1676.6158875275578,187519.0
2342.015562818735,188146.0
4462.6947644717,194086.0
1230.5673252639826,187015.0
1136.9711398613,186644.0
5078.161925535707,194344.0
4977.724596468033,194233.0
Objective Value, Total Weight
10575.53661438718,202175.0
1429.045245102403,181579.0
10575.53661438718,202175.0
4539.286594800535,188349.0
3202.818588201335,185231.0
6880.590581591387,192153.0
5642.520603563695,189876.0
4539.286594800535,188349.0
3202.818588201335,185231.0
9355.1578352254,197052.0
5961.238176298473,192036.0
9941.658105301874,198868.0
2289.150977926649,183719.0
10396.776026373263,201587.0
2289.150977926649,183719.0
7844.793378361501,194615.0
9941.658105301874,198868.0
8280.505227596092,196117.0
7948.308947907091,195923.0
1596.4716822705232,181802.0
Objective Value, Total Weight
-6440.950945221004,188861.0
6621.169323375274,216725.0
-6440.950945221004,188861.0
6621.169323375274,216725.0
4800.45442733643,214013.0
-2967.0830192372086,195171.0
2095.700588351814,209768.0
3409.9733033651137,211634.0
-2050.779783943144,198880.0
1188.20571278219,208266.0
-2669.2185142248927,197632.0
-93.09690280587529,202891.0
3020.9815272296546,211446.0
-784.7565381955937,199714.0
-4747.928697598021,191286.0
-4311.901227476716,193147.0
-732.5851328048157,201643.0
961.3599197747826,206152.0
-4511.569107375457,192688.0
-5483.387703474815,190038.0
Objective Value, Total Weight
5465.879816888919,209595.0
-11139.042979789432,173954.0
-11139.042979789432,173954.0
2663.3557698331715,204985.0
-2330.121027059824,189832.0
-2330.121027059824,189832.0
2663.3557698331715,204985.0
3674.04861100539,206827.0
-6820.767831829959,178409.0
-2440.492412755644,186584.0
-5055.649819412472,181001.0
-10459.720999540528,174496.0
-3723.296310095262,184355.0
-4498.264359917957,182161.0
-4177.118833621353,184167.0
-7283.919592973252,178221.0
-9041.503190068324,176941.0
-2943.9171144274005,185424.0
-5055.649819412472,181001.0
-7960.532723836892,177637.0
