il101_n100_bounded-strongly-corr_01-10000-generations-ErrorReport,IBEA,GroupPointCrossover,BitFlipMutation,RunNum=9,0.03
,SPEA2,HUXCrossover,BitFlipMutation,RunNum=4,5.91
,NSGA2,UniformCrossover,BitFlipMutation,RunNum=4,11.27
il101_n100_bounded-strongly-corr_06-10000-generations-ErrorReport,IBEA,SinglePointCrossover,BitFlipMutation,RunNum=9,0.02
,NSGA2,HUXCrossover,BitFlipMutation,RunNum=8,16.41
,SPEA2,HUXCrossover,BitFlipMutation,RunNum=2,17.57
il101_n100_bounded-strongly-corr_10-10000-generations-ErrorReport,IBEA,SinglePointCrossover,BitFlipMutation,RunNum=5,0.05
,SPEA2,SinglePointCrossover,BitFlipMutation,RunNum=8,16.92
,NSGA2,SinglePointCrossover,BitFlipMutation,RunNum=6,26
il101_n500_bounded-strongly-corr_01-10000-generations-ErrorReport,IBEA,HUXCrossover,ReversingMutation,RunNum=4,36.47
,NSGA2,SinglePointCrossover,BitFlipMutation,RunNum=5,40.21
,SPEA2,SinglePointCrossover,BitFlipMutation,RunNum=8,51.28
il101_n500_bounded-strongly-corr_06-10000-generations-ErrorReport,IBEA,UniformCrossover,BitFlipMutation,RunNum=4,5.87
,SPEA2,UniformCrossover,InterchangingMutation,RunNum=4,69.21
,NSGA2,ArithmeticCrossover,ReversingMutation,RunNum=7,82.99
il101_n500_bounded-strongly-corr_10-10000-generations-ErrorReport,IBEA,HUXCrossover,BitFlipMutation,RunNum=1,10.42
,SPEA2,ArithmeticCrossover,OneBitFlipMutation,RunNum=1,78.43
,NSGA2,SinglePointCrossover,DynamicBitFlipMutation,RunNum=2,65.57
il101_n1000_bounded-strongly-corr_01-10000-generations-ErrorReport,SPEA2,HUXCrossover,DynamicBitFlipMutation,RunNum=2,34.83
,IBEA,ReducedSurrogateCrossover,DynamicBitFlipMutation,RunNum=4,41.28
,NSGA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=4,47.39
il101_n1000_bounded-strongly-corr_06-10000-generations-ErrorReport,IBEA,UniformCrossover,BitFlipMutation,RunNum=3,18.74
,SPEA2,UniformCrossover,BitFlipMutation,RunNum=10,56.61
,NSGA2,UniformCrossover,BitFlipMutation,RunNum=8,55.16
il101_n1000_bounded-strongly-corr_10-10000-generations-ErrorReport,IBEA,HUXCrossover,BitFlipMutation,RunNum=8,25.07
,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=8,60.64
,NSGA2,ArithmeticCrossover,DynamicBitFlipMutation,RunNum=8,54.14
