instance,Algorithm,Crossover,Mutation,Best_Average_Error,
il101_n100_bounded-strongly-corr_01,IBEA,GroupPointCrossover,BitFlipMutation,RunNum=6,0.03
il101_n100_bounded-strongly-corr_01,SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=4,1.39
il101_n100_bounded-strongly-corr_01,NSGA2,UniformCrossover,InterchangingMutation,RunNum=6,6.05
il101_n100_bounded-strongly-corr_06,IBEA,SinglePointCrossover,DynamicBitFlipMutation,RunNum=10,0.001
il101_n100_bounded-strongly-corr_06,SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=10,4.95
il101_n100_bounded-strongly-corr_06,NSGA2,HUXCrossover,InterchangingMutation,RunNum=5,5.03
il101_n100_bounded-strongly-corr_10,IBEA,SinglePointCrossover,InterchangingMutation,RunNum=1,0.01
il101_n100_bounded-strongly-corr_10,SPEA2,HUXCrossover,InterchangingMutation,RunNum=4,7.36
il101_n100_bounded-strongly-corr_10,NSGA2,UniformCrossover,InterchangingMutation,RunNum=7,13.54
il101_n500_bounded-strongly-corr_01,IBEA,HUXCrossover,InterchangingMutation,RunNum=4,0.19
il101_n500_bounded-strongly-corr_01,NSGA2,SinglePointCrossover,OneBitFlipMutation,RunNum=4,28.26
il101_n500_bounded-strongly-corr_01,SPEA2,HUXCrossover,OneBitFlipMutation,RunNum=6,32.18
il101_n500_bounded-strongly-corr_06,IBEA,HUXCrossover,BitFlipMutation,RunNum=5,0.11
il101_n500_bounded-strongly-corr_06,NSGA2,SinglePointCrossover,ReversingMutation,RunNum=5,29.94
il101_n500_bounded-strongly-corr_06,SPEA2,SinglePointCrossover,OneBitFlipMutation,RunNum=8,37.62
il101_n500_bounded-strongly-corr_10,IBEA,UniformCrossover,ReversingMutation,RunNum=10,0.1
il101_n500_bounded-strongly-corr_10,NSGA2,SinglePointCrossover,InterchangingMutation,RunNum=9,21.33
il101_n500_bounded-strongly-corr_10,SPEA2,SinglePointCrossover,InterchangingMutation,RunNum=4,37.43
il101_n1000_bounded-strongly-corr_01,IBEA,GroupPointCrossover,OneBitFlipMutation,RunNum=5,0.001
il101_n1000_bounded-strongly-corr_01,NSGA2,SinglePointCrossover,BitFlipMutation,RunNum=7,39.27
il101_n1000_bounded-strongly-corr_01,SPEA2,HUXCrossover,ReversingMutation,RunNum=1,56.96
il101_n1000_bounded-strongly-corr_06,IBEA,UniformCrossover,ReversingMutation,RunNum=5,0.34
il101_n1000_bounded-strongly-corr_06,SPEA2,HUXCrossover,InterchangingMutation,RunNum=8,46.49
il101_n1000_bounded-strongly-corr_06,NSGA2,SinglePointCrossover,ReversingMutation,RunNum=6,46.79
il101_n1000_bounded-strongly-corr_10,IBEA,GroupPointCrossover,OneBitFlipMutation,RunNum=3,0.01
il101_n1000_bounded-strongly-corr_10,NSGA2,SinglePointCrossover,ReversingMutation,RunNum=5,37.86
il101_n1000_bounded-strongly-corr_10,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=8,42.57
