Objective 1, Objective 2
-0.999999616,9.28E-06
0,1.000004668
-0.672015308,0.556809684
-0.322658712,0.897900488
-0.964312413,0.081273531
-0.796113977,0.367583193
-0.174231526,0.99066889
-0.521422496,0.740846393
-0.843524976,0.288537377
-0.524453782,0.725013133
Objective 1, Objective 2
-0.990409332,0.081345701
-6.20E-09,1.036809761
-0.127621653,1.012861615
-0.073196138,1.021368432
-0.623474687,0.667724538
-0.971060948,0.106974168
-0.646798824,0.625659614
-0.539640758,0.743450658
-0.045797816,1.029899982
-0.162679965,1.004272653
-0.414509061,0.87299025
-0.805969996,0.417822061
-0.389083107,0.887494447
-0.855744735,0.31789231
-0.966345211,0.150785554
-0.318070705,0.936520703
-0.361478502,0.905002361
-0.341261928,0.919438805
-0.852382027,0.34264424
-0.695693841,0.568141939
-0.944830004,0.169166805
-0.989645547,0.093785402
-0.376282849,0.890972966
-0.870788288,0.305773224
-0.613528953,0.673999165
-0.516284599,0.776834714
-0.597201303,0.686262602
-0.765641121,0.470212817
-0.414787345,0.855318806
-0.737356595,0.515075483
-0.438724478,0.853417201
-0.76014954,0.486973628
-0.246365496,0.96443103
-0.888610577,0.28135499
-0.919302221,0.223869064
-0.908137512,0.235084976
-0.560604914,0.741608276
-0.962794387,0.151675982
-0.832158232,0.36174417
-0.844841284,0.352596047
-0.814700197,0.394563389
-0.719141889,0.545048836
-0.79557484,0.431185321
-0.727599879,0.528790403
-0.015120661,1.031782182
-0.775196219,0.458291367
-0.178784016,1.003750121
-0.888887048,0.259330273
-0.447481493,0.845961437
-0.925736729,0.211972468
-0.194145682,0.996228299
-0.77576711,0.443755817
-0.217127331,0.988893008
-0.287295036,0.954893001
-0.237290212,0.982781831
-0.460001573,0.839733379
-0.754837317,0.50052831
-0.788466002,0.438396638
-0.743583809,0.502710716
-0.505843252,0.780290441
-0.476617655,0.826058627
-0.907755197,0.252095912
-0.566890379,0.730466094
-0.47013704,0.836072195
-0.701488783,0.555974636
-0.673485851,0.601807294
-0.499551529,0.80067716
-0.671530107,0.609618471
-0.486722809,0.810861294
-0.932858251,0.202900406
-0.243960974,0.979644981
-0.352726054,0.915155048
-0.593085132,0.697701639
-0.570328126,0.721283353
-0.683988075,0.592519075
-0.266736971,0.961301781
-0.933620447,0.191998496
-0.516284599,0.776834714
-0.659421635,0.616657464
-0.219234555,0.987795919
-0.899065983,0.256529759
-0.827780817,0.381912174
-0.817131567,0.390078523
-0.687806622,0.589479547
-0.577495577,0.714503075
-0.719328725,0.535039129
-0.830499751,0.377622041
-0.875938109,0.286992332
-0.875503949,0.29293927
-0.936602866,0.180458733
-0.266736971,0.961301781
-0.192520448,0.99811654
-0.655925688,0.620493653
-0.586995225,0.712559237
-0.592409941,0.707842639
-0.502362244,0.794637822
-0.290977287,0.952172441
-0.483491921,0.817895881
-0.943039042,0.177367756
-0.301520576,0.947672531
Objective 1, Objective 2
-1.02E-05,3.758376087
-4.74E-06,4.466134344
-0.134434218,2.587104324
-0.651535612,2.437064427
-0.012333368,2.797203072
-5.49E-05,2.860189036
-0.019125928,2.686737616
-2.76E-05,3.522399362
-4.74E-05,3.163620627
