SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=1,571.31
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=2,843.39
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=3,235.96
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=4,156.81
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=5,1266.83
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=6,119.64
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=7,183.77
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=8,171.38
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=9,161.11
SPEA2,GroupPointCrossover,DynamicBitFlipMutation,RunNum=10,1323.03
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=1,217.18
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=2,160.3
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=3,185.25
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=4,412.76
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=5,185.09
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=6,176.45
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=7,261.75
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=8,151.53
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=9,114.19
SPEA2,GroupPointCrossover,InterchangingMutation,RunNum=10,253.35
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=1,377.36
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=2,206.58
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=3,168.47
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=4,134.91
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=5,139.45
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=6,149.53
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=7,207.93
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=8,175.72
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=9,136.83
SPEA2,GroupPointCrossover,OneBitFlipMutation,RunNum=10,200.29
SPEA2,GroupPointCrossover,GreedyMutation,RunNum=1,378.69
SPEA2,GroupPointCrossover,GreedyMutation,RunNum=2,196.11
SPEA2,GroupPointCrossover,GreedyMutation,RunNum=3,259.26
