il101_n100_bounded-strongly-corr_01-1000-generations-ErrorReport,SPEA2,ReducedSurrogateCrossover,BitFlipMutation,RunNum=1,0.66
,IBEA,SinglePointCrossover,GreedyMutation,RunNum=4,9.07
,NSGA2,GroupPointCrossover,GreedyMutation,RunNum=10,1.03
il101_n100_bounded-strongly-corr_06-1000-generations-ErrorReport,SPEA2,HUXCrossover,BitFlipMutation,RunNum=5,56.15
,IBEA,HUXCrossover,BitFlipMutation,RunNum=8,9.45
,NSGA2,HUXCrossover,BitFlipMutation,RunNum=2,46.05
il101_n100_bounded-strongly-corr_10-1000-generations-ErrorReport,SPEA2,UniformCrossover,BitFlipMutation,RunNum=3,40.65
,IBEA,HUXCrossover,BitFlipMutation,RunNum=7,24.15
,NSGA2,UniformCrossover,BitFlipMutation,RunNum=10,43.31
il101_n500_bounded-strongly-corr_01-1000-generations-ErrorReport,SPEA2,UniformCrossover,DynamicBitFlipMutation,RunNum=5,23.03
,IBEA,ReducedSurrogateCrossover,DynamicBitFlipMutation,RunNum=6,35.04
,NSGA2,ReducedSurrogateCrossover,DynamicBitFlipMutation,RunNum=8,50.8
il101_n500_bounded-strongly-corr_06-1000-generations-ErrorReport,SPEA2,HUXCrossover,GreedyMutation,RunNum=5,59.83
,IBEA,UniformCrossover,BitFlipMutation,RunNum=3,32.93
,NSGA2,UniformCrossover,ReversingMutation,RunNum=7,52.97
il101_n500_bounded-strongly-corr_10-1000-generations-ErrorReport,SPEA2,ArithmeticCrossover,InterchangingMutation,RunNum=9,47.12
,IBEA,HUXCrossover,BitFlipMutation,RunNum=6,48
,NSGA2,ArithmeticCrossover,BitFlipMutation,RunNum=9,68.06
il101_n1000_bounded-strongly-corr_01-1000-generations-ErrorReport,SPEA2,HUXCrossover,DynamicBitFlipMutation,RunNum=10,48.38
,IBEA,UniformCrossover,DynamicBitFlipMutation,RunNum=2,46.38
,NSGA2,UniformCrossover,DynamicBitFlipMutation,RunNum=4,43.86
il101_n1000_bounded-strongly-corr_06-1000-generations-ErrorReport,SPEA2,UniformCrossover,BitFlipMutation,RunNum=10,65.9
,IBEA,ReducedSurrogateCrossover,OneBitFlipMutation,RunNum=8,1.07
,NSGA2,HUXCrossover,BitFlipMutation,RunNum=9,67.58
il101_n1000_bounded-strongly-corr_10-1000-generations-ErrorReport,SPEA2,ArithmeticCrossover,OneBitFlipMutation,RunNum=5,41.29
,IBEA,ArithmeticCrossover,ReversingMutation,RunNum=9,39.09
,NSGA2,ArithmeticCrossover,InterchangingMutation,RunNum=5,61.01
